id,project,question_id,customized_quesstion
41,joestelmach/natty,5,Is there an entity named something like int_1_to_9 in the package com.joestelmach.natty?
42,joestelmach/natty,6,Is there an entity named something like testUpcomingHoliday in the SearchTest?
43,joestelmach/natty,7,What are the parts of this joestelmach/natty?
44,joestelmach/natty,8,What are the parts of this package com.joestelmach.natty?
45,joestelmach/natty,9,What are the parts of this NattyTokenSource?
46,joestelmach/natty,10,How are instances of ThreadSafetyTest created and assembled?
47,joestelmach/natty,11,Who modified this package com.joestelmach.natty most recently?
48,joestelmach/natty,12,Who modified this ANTLRNoCaseInputStream most recently?
49,joestelmach/natty,13,When was this package com.joestelmach.natty last modified?
50,joestelmach/natty,14,When was this RecurrenceTest last modified?
51,joestelmach/natty,15,What does this joestelmach/natty do?
52,joestelmach/natty,16,What was done in the most recent modification to this joestelmach/natty?
53,joestelmach/natty,17,What was done in the most recent modification to this package com.joestelmach.natty?
54,joestelmach/natty,18,What was done in the most recent modification to this AbstractGrammarTest?
55,sstrickx/yahoofinance-api,1,Is there an entity named something like Utils in the sstrickx/yahoofinance-api?
56,sstrickx/yahoofinance-api,2,Is there an entity named something like package yahoofinance.quotes.fx in the sstrickx/yahoofinance-api?
57,sstrickx/yahoofinance-api,3,Is there an entity named something like getPrice in the sstrickx/yahoofinance-api?
58,sstrickx/yahoofinance-api,4,Is there an entity named something like StockStats in the package yahoofinance.mock?
59,sstrickx/yahoofinance-api,5,Is there an entity named something like getStockTimeZone in the package yahoofinance.quotes.csv?
60,sstrickx/yahoofinance-api,6,Is there an entity named something like getRevenue in the FxQuoteRequestTest?
61,sstrickx/yahoofinance-api,7,What are the parts of this sstrickx/yahoofinance-api?
62,sstrickx/yahoofinance-api,8,What are the parts of this package yahoofinance.histquotes2?
63,sstrickx/yahoofinance-api,9,What are the parts of this HistQuotes2Request?
64,sstrickx/yahoofinance-api,10,How are instances of StockStats created and assembled?
65,sstrickx/yahoofinance-api,11,Who modified this package yahoofinance.exchanges most recently?
66,sstrickx/yahoofinance-api,12,Who modified this CrumbManager most recently?
67,sstrickx/yahoofinance-api,13,When was this package yahoofinance.quotes.csv last modified?
68,sstrickx/yahoofinance-api,14,When was this HistSplitsRequest last modified?
69,sstrickx/yahoofinance-api,15,What does this sstrickx/yahoofinance-api do?
70,sstrickx/yahoofinance-api,16,What was done in the most recent modification to this sstrickx/yahoofinance-api?
71,sstrickx/yahoofinance-api,17,What was done in the most recent modification to this package yahoofinance.quotes.csv?
72,sstrickx/yahoofinance-api,18,What was done in the most recent modification to this StockQuotesData?
73,pedrovgs/Renderers,1,Is there an entity named something like SubObjectRenderer in the pedrovgs/Renderers?
74,pedrovgs/Renderers,2,Is there an entity named something like package com.pedrogomez.renderers in the pedrovgs/Renderers?
75,pedrovgs/Renderers,3,Is there an entity named something like hookListeners in the pedrovgs/Renderers?
76,pedrovgs/Renderers,4,Is there an entity named something like MainActivity in the package com.pedrogomez.renderers.sample.ui.renderers?
77,pedrovgs/Renderers,5,Is there an entity named something like getPrototypeClass in the package com.pedrogomez.renderers.exception?
78,pedrovgs/Renderers,6,Is there an entity named something like inflate in the ListAdapteeCollection?
79,pedrovgs/Renderers,7,What are the parts of this pedrovgs/Renderers?
80,pedrovgs/Renderers,8,What are the parts of this package com.pedrogomez.renderers?
81,pedrovgs/Renderers,9,What are the parts of this RendererException?
82,pedrovgs/Renderers,10,How are instances of ListAdapteeCollectionTest created and assembled?
83,pedrovgs/Renderers,11,Who modified this package com.pedrogomez.renderers.exception most recently?
84,pedrovgs/Renderers,12,Who modified this MainActivity most recently?
85,pedrovgs/Renderers,13,When was this package com.pedrogomez.renderers last modified?
86,pedrovgs/Renderers,14,When was this Video last modified?
87,pedrovgs/Renderers,15,What does this pedrovgs/Renderers do?
88,pedrovgs/Renderers,16,What was done in the most recent modification to this pedrovgs/Renderers?
89,pedrovgs/Renderers,17,What was done in the most recent modification to this package com.pedrogomez.renderers?
90,pedrovgs/Renderers,18,What was done in the most recent modification to this ObjectRenderer?
